214	211	214
0	68	56
71	40	53
186	191	183
81	40	38
198	214	160
198	173	15
242	165	170
226	40	130
193	5	56
175	165	147
63	0	119
0	63	84
234	170	196
211	5	71
252	79	89
127	40	96
198	214	196
142	73	5
147	198	224
0	122	165
252	186	94
255	163	178
221	224	15
255	114	71
12	25	117
234	226	183
142	5	84
181	145	124
209	142	84
234	204	206
252	204	147
234	221	150
170	0	102
114	63	10
43	17	102
0	127	153
216	132	188
94	104	196
71	214	193
43	43	40
122	63	40
140	89	51
153	132	10
142	226	188
170	0	79
249	224	76
165	63	15
127	102	137
186	232	96
84	71	38
0	96	124
107	71	20
178	107	112
206	234	130
114	209	221
219	211	211
2	40	58
94	221	193
117	40	40
51	158	53
79	109	94
73	68	17
226	145	0
196	5	124
165	175	214
204	226	38
175	38	38
242	198	140
216	237	150
127	198	178
0	163	221
193	209	191
214	214	216
155	170	191
63	73	38
229	211	193
242	186	211
204	122	2
249	232	20
38	84	124
252	35	102
226	140	5
142	71	173
81	38	28
0	119	112
244	201	201
255	160	204
242	234	188
0	173	198
221	117	0
0	84	107
186	224	226
249	229	91
244	63	79
158	170	153
158	158	7
61	48	40
53	196	175
234	229	150
0	112	158
63	48	43
173	135	153
204	175	183
119	45	53
0	43	127
71	35	17
242	214	216
183	206	188
232	163	201
112	206	155
193	201	221
53	56	66
79	33	58
255	237	56
183	56	68
211	168	124
224	201	204
96	86	119
0	48	73
17	33	81
109	48	17
247	181	12
209	206	198
135	175	191
0	56	147
206	224	7
0	183	198
68	35	89
249	221	22
198	163	193
170	221	109
188	193	178
206	214	73
198	193	178
252	163	17
252	155	178
48	56	58
204	226	221
249	198	170
45	51	142
84	216	168
211	232	163
244	209	204
0	53	58
255	153	63
211	109	0
252	201	198
0	124	89
244	237	175
234	191	196
186	117	48
30	28	119
196	229	142
249	89	81
255	84	22
237	232	91
239	234	7
239	43	45
224	170	15
132	63	15
170	221	214
173	158	211
104	33	122
12	28	71
242	104	119
214	221	214
216	191	170
211	191	183
153	137	124
132	53	17
186	196	5
0	102	127
147	22	56
0	178	170
0	107	84
175	168	10
181	168	12
193	191	10
232	135	142
198	198	165
242	237	109
0	51	76
160	45	150
