238	118	33
25	25	112
60	179	113
255	130	171
211	211	211
169	169	169
238	122	233
82	139	139
139	87	66
238	238	0
0	205	102
205	133	0
112	128	144
238	233	191
255	192	203
205	183	181
159	182	205
65	105	225
205	183	158
190	190	190
118	238	0
255	99	71
0	139	0
180	82	205
188	210	238
255	105	180
54	100	139
205	50	120
0	0	139
104	34	139
106	90	205
245	255	250
255	187	255
50	205	50
255	110	180
189	183	107
0	0	238
0	250	154
255	160	122
255	127	36
139	37	0
250	250	210
102	205	170
139	76	57
139	10	80
255	255	0
153	50	204
0	238	118
180	238	180
96	123	139
208	32	144
93	71	139
110	123	139
139	28	98
119	136	153
139	71	137
139	54	38
139	126	102
238	221	130
139	0	139
238	229	222
67	110	238
176	48	96
255	140	105
122	55	139
205	205	180
238	64	0
240	248	255
222	184	135
141	182	205
205	91	69
255	0	0
238	230	133
0	245	255
139	131	134
238	180	34
205	149	12
220	220	220
186	85	211
255	181	197
139	139	0
248	248	255
240	255	240
250	235	215
255	255	224
39	64	139
159	121	238
32	178	170
139	0	0
122	197	205
147	112	219
238	203	173
238	118	0
205	205	193
193	205	193
139	69	19
175	238	238
0	255	127
205	145	158
162	205	90
216	191	216
255	240	245
238	48	167
238	162	173
139	101	8
0	0	255
238	106	167
245	222	179
255	255	240
238	59	59
139	102	139
205	186	150
74	112	139
205	85	85
230	230	250
238	154	73
240	230	140
154	192	205
209	95	238
0	206	209
205	92	92
255	174	185
123	104	238
238	44	44
255	231	186
99	184	255
154	50	205
255	250	205
198	226	255
151	255	255
238	201	0
238	121	66
139	137	137
139	139	122
199	21	133
16	78	139
0	139	139
139	71	93
122	103	238
255	218	185
30	144	255
135	206	250
178	58	238
69	139	0
178	223	238
205	155	155
191	62	255
0	205	205
121	205	205
205	41	144
238	0	0
255	245	238
193	205	205
152	251	152
240	128	128
144	238	144
238	99	99
205	112	84
255	250	240
238	58	140
79	148	205
218	165	32
255	235	205
0	0	128
105	139	105
238	232	170
238	238	224
184	134	11
176	196	222
0	154	205
150	205	205
173	255	47
209	238	238
139	137	112
238	232	205
139	129	76
139	90	43
187	255	255
0	134	139
152	245	255
0	178	238
210	105	30
205	104	137
100	149	237
205	102	29
139	34	82
205	181	205
0	191	255
224	238	238
238	223	204
105	139	34
238	92	66
205	192	176
139	115	85
69	139	116
255	114	86
72	209	204
238	233	233
238	130	98
255	127	80
205	201	165
255	246	143
67	205	128
205	179	139
125	38	205
145	44	238
47	79	79
238	130	238
164	211	238
139	26	26
238	106	80
127	255	0
179	238	58
135	206	235
205	190	112
255	182	193
244	164	96
0	238	0
238	121	159
255	20	147
255	69	0
34	139	34
178	34	34
205	79	57
224	102	255
154	205	50
255	0	255
255	225	255
255	228	225
102	139	139
139	95	101
238	174	238
139	134	130
0	0	205
46	139	87
255	185	15
240	255	255
205	140	149
238	238	209
253	245	230
238	154	0
205	51	51
255	52	179
139	58	98
255	250	250
148	0	211
58	95	205
139	119	101
238	197	145
202	255	112
173	216	230
118	238	198
205	16	118
255	48	48
0	238	238
139	90	0
255	248	220
255	222	173
238	213	183
139	125	107
238	213	210
238	0	238
92	172	238
255	127	0
255	165	79
137	104	205
139	131	120
255	239	219
142	229	238
139	69	0
0	255	255
238	173	14
85	26	139
124	205	124
255	131	250
205	133	63
139	134	78
205	155	29
160	82	45
238	220	130
238	224	229
139	71	38
205	170	125
224	238	224
221	160	221
139	125	123
135	206	255
176	226	255
193	255	193
205	201	201
205	198	115
205	55	0
139	99	108
174	238	238
238	169	184
191	239	255
255	64	64
105	89	205
250	128	114
171	130	255
155	205	155
110	139	61
70	130	180
78	238	148
85	107	47
224	255	255
64	224	208
205	105	201
255	236	139
138	43	226
176	224	230
139	136	120
205	175	149
160	32	240
180	205	205
238	18	137
154	255	154
107	142	35
0	255	0
83	134	139
255	228	181
238	180	180
124	252	0
0	229	238
238	210	238
205	193	197
139	105	105
127	255	212
219	112	147
28	134	238
255	193	193
238	216	174
255	62	150
255	215	0
255	228	196
122	139	139
24	116	205
0	100	0
139	105	20
139	62	47
255	193	37
105	105	105
0	139	69
72	118	255
102	205	0
188	143	143
245	245	245
218	112	214
108	166	205
0	104	139
255	255	255
238	149	114
131	139	139
205	96	144
210	180	140
139	123	139
205	102	0
71	60	139
131	111	255
72	61	139
141	238	238
139	139	131
188	238	104
255	165	0
205	150	205
205	197	191
205	205	0
131	139	131
255	130	71
245	245	220
202	225	255
205	0	205
185	211	238
104	131	139
139	35	35
205	129	98
139	121	94
255	140	0
205	104	57
255	211	155
84	255	159
238	207	161
0	205	0
162	181	205
205	200	177
233	150	122
255	239	213
205	0	0
165	42	42
143	188	143
250	240	230
0	197	205
139	58	58
0	0	0
84	139	84
205	173	0
132	112	255
95	158	160
255	106	106
139	117	0
155	48	255
205	38	38
192	255	62
126	192	238
108	123	139
